Word_ID,Personal_ID,InputTime(s),TotalTime(s),BackspaceCount,KeystrokeCount,DelayTime(ms)
1,1,7.28,386.7,1,30,1500
2,1,6.29,386.7,2,33,3800
3,1,4.54,386.7,0,28,0
4,1,6.25,386.7,0,28,0
5,1,6.14,386.7,1,30,3200
6,1,5.42,386.7,0,27,0
7,1,8.17,386.7,4,39,3100
8,1,5.01,386.7,0,27,1100
9,1,5.74,386.7,1,31,2000
10,1,7.32,386.7,0,25,2500
11,1,5.77,386.7,0,26,1900
12,1,118.48,386.7,0,27,1200
13,1,5.5,386.7,0,28,3500
14,1,5.28,386.7,0,26,3000
15,1,5.43,386.7,0,29,3600
16,1,4.8,386.7,0,24,800
17,1,5.85,386.7,0,28,2700
18,1,6.09,386.7,1,31,0
19,1,5.14,386.7,0,27,3300
20,1,5.9,386.7,0,31,1000
21,1,5.47,386.7,0,27,3700
22,1,5.85,386.7,0,32,2600
23,1,5.29,386.7,0,27,2200
24,1,5.98,386.7,0,27,700
25,1,5.96,386.7,1,32,500
26,1,5.53,386.7,0,29,400
27,1,4.48,386.7,0,27,0
28,1,5.04,386.7,0,28,2100
29,1,5.1,386.7,0,26,4000
30,1,5.63,386.7,0,26,1700
31,1,5.96,386.7,0,26,3400
32,1,,386.7,0,0,
33,1,11.46,386.7,3,30,3900
34,1,18.92,386.7,13,60,600
35,1,4.57,386.7,0,26,1800
36,1,7.31,386.7,0,27,1300
37,1,11.21,386.7,2,34,2400
38,1,7.24,386.7,1,31,200
39,1,4.99,386.7,0,25,1400
40,1,5.03,386.7,0,27,2900
41,1,5.28,386.7,0,25,300
42,1,4.72,386.7,0,28,0
43,1,5.01,386.7,0,27,2800
44,1,4.56,386.7,1,25,2300
45,1,5.71,386.7,0,21,900
1,2,36.24,800.86,46,114,1500
2,2,93.76,800.86,25,100,3800
3,2,5.64,800.86,0,28,0
4,2,7.31,800.86,0,28,0
5,2,35.35,800.86,11,57,3200
6,2,6.06,800.86,0,27,0
7,2,8.75,800.86,2,32,3100
8,2,7.01,800.86,0,27,1100
9,2,18.88,800.86,5,42,2000
10,2,6.2,800.86,0,25,2500
11,2,21.7,800.86,13,59,1900
12,2,180.24,800.86,0,27,1200
13,2,6.15,800.86,0,28,3500
14,2,5.16,800.86,0,26,3000
15,2,4.8,800.86,0,29,3600
16,2,9.58,800.86,1,26,800
17,2,8.63,800.86,1,30,2700
18,2,5.75,800.86,0,28,0
19,2,6.82,800.86,0,27,3300
20,2,6.68,800.86,0,31,1000
21,2,22.08,800.86,28,75,3700
22,2,11.62,800.86,2,37,2600
23,2,6.57,800.86,0,27,2200
24,2,14.59,800.86,5,40,700
25,2,8.3,800.86,1,31,500
26,2,7.74,800.86,1,32,400
27,2,12.74,800.86,10,56,0
28,2,5.95,800.86,0,28,2100
29,2,10.74,800.86,0,26,4000
30,2,4.3,800.86,0,26,1700
31,2,9.44,800.86,0,26,3400
32,2,,800.86,0,0,
33,2,54.43,800.86,46,113,3900
34,2,6.15,800.86,0,25,600
35,2,5.52,800.86,0,26,1800
36,2,18.41,800.86,6,44,1300
37,2,7.02,800.86,0,29,2400
38,2,6.56,800.86,0,28,200
39,2,4.7,800.86,0,25,1400
40,2,4.78,800.86,0,27,2900
41,2,41.93,800.86,40,118,300
42,2,4.74,800.86,0,28,0
43,2,26.27,800.86,32,91,2800
44,2,12.32,800.86,2,28,2300
45,2,13.25,800.86,2,25,900
1,3,4.62,917.57,0,27,1500
2,3,6.92,917.57,0,29,3800
3,3,5.46,917.57,0,28,0
4,3,17.24,917.57,12,62,0
5,3,8.15,917.57,1,29,3200
6,3,10.87,917.57,2,32,0
7,3,7.73,917.57,0,28,3100
8,3,25.61,917.57,11,56,1100
9,3,8.54,917.57,0,29,2000
10,3,8.87,917.57,1,27,2500
11,3,45.29,917.57,32,113,1900
12,3,310.13,917.57,0,27,1200
13,3,6.96,917.57,0,28,3500
14,3,6.74,917.57,0,26,3000
15,3,12.61,917.57,2,34,3600
16,3,5.85,917.57,0,24,800
17,3,35.42,917.57,21,85,2700
18,3,6.54,917.57,0,28,0
19,3,64.43,917.57,73,138,3300
20,3,15.25,917.57,13,56,1000
21,3,6.92,917.57,0,27,3700
22,3,8.28,917.57,0,32,2600
23,3,9.08,917.57,0,27,2200
24,3,7.55,917.57,0,27,700
25,3,6.79,917.57,0,29,500
26,3,20.22,917.57,11,58,400
27,3,12.95,917.57,9,54,0
28,3,28.79,917.57,12,63,2100
29,3,15.26,917.57,4,36,4000
30,3,19.54,917.57,9,51,1700
31,3,7.38,917.57,0,26,3400
32,3,,917.57,0,0,
33,3,22.57,917.57,63,111,3900
34,3,5.23,917.57,0,25,600
35,3,5.35,917.57,0,26,1800
36,3,8.18,917.57,0,27,1300
37,3,25.77,917.57,29,90,2400
38,3,6.28,917.57,0,28,200
39,3,5.05,917.57,0,25,1400
40,3,6.22,917.57,0,27,2900
41,3,31.35,917.57,15,64,300
42,3,19.23,917.57,12,64,0
43,3,7.57,917.57,0,27,2800
44,3,4.21,917.57,0,23,2300
45,3,14.57,917.57,3,29,900
1,4,9.29,708.26,1,30,1500
2,4,6.36,708.26,0,29,3800
3,4,5.91,708.26,1,30,0
4,4,7.94,708.26,0,28,0
5,4,13.19,708.26,4,37,3200
6,4,7.72,708.26,1,30,0
7,4,26.36,708.26,20,84,3100
8,4,6.36,708.26,0,27,1100
9,4,7.65,708.26,0,29,2000
10,4,30.27,708.26,10,50,2500
11,4,8.61,708.26,0,26,1900
12,4,222.53,708.26,7,46,1200
13,4,7.82,708.26,1,31,3500
14,4,13.52,708.26,2,31,3000
15,4,7.31,708.26,1,31,3600
16,4,6.89,708.26,0,24,800
17,4,9.97,708.26,1,31,2700
18,4,7.16,708.26,1,31,0
19,4,9.84,708.26,2,32,3300
20,4,9.87,708.26,1,34,1000
21,4,13.17,708.26,1,30,3700
22,4,36.69,708.26,13,68,2600
23,4,7.33,708.26,0,27,2200
24,4,7.06,708.26,0,27,700
25,4,7.71,708.26,1,31,500
26,4,7.9,708.26,0,29,400
27,4,6.29,708.26,0,27,0
28,4,9.53,708.26,0,28,2100
29,4,6.84,708.26,0,26,4000
30,4,7.7,708.26,1,29,1700
31,4,6.59,708.26,0,26,3400
32,4,,708.26,0,0,
33,4,7.28,708.26,0,23,3900
34,4,6.1,708.26,0,25,600
35,4,6.77,708.26,0,26,1800
36,4,10.01,708.26,1,29,1300
37,4,6.69,708.26,0,29,2400
38,4,13.02,708.26,3,37,200
39,4,7.62,708.26,2,29,1400
40,4,14.35,708.26,5,42,2900
41,4,39.72,708.26,3,34,300
42,4,7.56,708.26,1,30,0
43,4,8.67,708.26,0,27,2800
44,4,6.36,708.26,0,23,2300
45,4,32.73,708.26,14,61,900
1,5,11.63,875.61,4,39,1500
2,5,23.26,875.61,9,52,3800
3,5,5.43,875.61,0,28,0
4,5,6.52,875.61,0,28,0
5,5,21.6,875.61,7,47,3200
6,5,6.4,875.61,0,27,0
7,5,5.37,875.61,0,28,3100
8,5,23.32,875.61,24,82,1100
9,5,6.8,875.61,0,29,2000
10,5,15.36,875.61,21,62,2500
11,5,7.41,875.61,0,27,1900
12,5,263.65,875.61,0,27,1200
13,5,8.06,875.61,0,28,3500
14,5,25.06,875.61,26,79,3000
15,5,14.82,875.61,19,65,3600
16,5,17.98,875.61,21,70,800
17,5,7.99,875.61,0,28,2700
18,5,7.87,875.61,1,31,0
19,5,6.82,875.61,0,27,3300
20,5,7.78,875.61,0,31,1000
21,5,54.97,875.61,92,227,3700
22,5,6.13,875.61,0,32,2600
23,5,6.71,875.61,0,27,2200
24,5,17.48,875.61,22,79,700
25,5,5.41,875.61,0,29,500
26,5,5.96,875.61,0,29,400
27,5,6.41,875.61,0,27,0
28,5,7.44,875.61,1,30,2100
29,5,5.58,875.61,0,26,4000
30,5,6.6,875.61,0,26,1700
31,5,30.52,875.61,38,113,3400
32,5,,875.61,0,0,
33,5,58.21,875.61,71,189,3900
34,5,5.43,875.61,0,26,600
35,5,24.46,875.61,12,60,1800
36,5,7.75,875.61,0,27,1300
37,5,9.8,875.61,2,34,2400
38,5,5.04,875.61,0,28,200
39,5,4.96,875.61,0,25,1400
40,5,19.56,875.61,9,52,2900
41,5,44.58,875.61,49,148,300
42,5,12.31,875.61,8,49,0
43,5,19.38,875.61,6,41,2800
44,5,5.77,875.61,1,25,2300
45,5,12.02,875.61,9,41,900
1,6,11.89,543.99,4,37,1500
2,6,5.16,543.99,0,29,3800
3,6,4.96,543.99,0,28,0
4,6,6.39,543.99,0,28,0
5,6,5.1,543.99,0,27,3200
6,6,6.7,543.99,0,27,0
7,6,6.72,543.99,0,28,3100
8,6,6,543.99,0,27,1100
9,6,6.57,543.99,0,29,2000
10,6,8.27,543.99,1,27,2500
11,6,6.29,543.99,1,29,1900
12,6,180.79,543.99,0,27,1200
13,6,6.5,543.99,1,30,3500
14,6,5.25,543.99,0,26,3000
15,6,5.43,543.99,0,29,3600
16,6,11.99,543.99,9,47,800
17,6,5.89,543.99,0,28,2700
18,6,5.71,543.99,0,28,0
19,6,6.72,543.99,0,27,3300
20,6,28.24,543.99,14,68,1000
21,6,6.14,543.99,0,27,3700
22,6,8.69,543.99,1,34,2600
23,6,6.32,543.99,0,27,2200
24,6,14.66,543.99,14,65,700
25,6,5.26,543.99,0,29,500
26,6,7.02,543.99,2,34,400
27,6,6.24,543.99,1,28,0
28,6,5.06,543.99,0,28,2100
29,6,4.84,543.99,0,26,4000
30,6,22.86,543.99,6,41,1700
31,6,6.36,543.99,0,26,3400
32,6,,543.99,0,0,
33,6,4.71,543.99,0,23,3900
34,6,5.12,543.99,0,25,600
35,6,28.37,543.99,19,78,1800
36,6,7.59,543.99,0,27,1300
37,6,6.63,543.99,0,29,2400
38,6,6.87,543.99,0,28,200
39,6,5.19,543.99,0,25,1400
40,6,6.08,543.99,0,27,2900
41,6,21.75,543.99,19,72,300
42,6,7.48,543.99,4,38,0
43,6,7.23,543.99,1,29,2800
44,6,4.38,543.99,0,23,2300
45,6,8.57,543.99,5,31,900
1,7,5.38,554.61,0,27,1500
2,7,10.9,554.61,0,29,3800
3,7,5.88,554.61,0,28,0
4,7,6.1,554.61,0,28,0
5,7,17.91,554.61,5,38,3200
6,7,8.65,554.61,1,29,0
7,7,11.2,554.61,2,33,3100
8,7,5.59,554.61,0,27,1100
9,7,16.02,554.61,6,45,2000
10,7,16.78,554.61,6,39,2500
11,7,6.45,554.61,0,26,1900
12,7,173.33,554.61,1,29,1200
13,7,7,554.61,1,30,3500
14,7,5.7,554.61,0,26,3000
15,7,10.56,554.61,2,34,3600
16,7,5.93,554.61,1,27,800
17,7,19.13,554.61,11,59,2700
18,7,6.79,554.61,1,30,0
19,7,24.48,554.61,13,61,3300
20,7,9.09,554.61,1,33,1000
21,7,5.61,554.61,0,27,3700
22,7,5.67,554.61,0,32,2600
23,7,9.45,554.61,1,29,2200
24,7,5.38,554.61,0,27,700
25,7,6.37,554.61,1,31,500
26,7,6.08,554.61,0,29,400
27,7,5.12,554.61,0,27,0
28,7,6.43,554.61,1,31,2100
29,7,6.13,554.61,0,26,4000
30,7,10.64,554.61,3,33,1700
31,7,5.29,554.61,0,26,3400
32,7,,554.61,0,0,
33,7,17.23,554.61,25,74,3900
34,7,4.5,554.61,0,24,600
35,7,5.89,554.61,1,28,1800
36,7,6.71,554.61,2,31,1300
37,7,6.17,554.61,0,29,2400
38,7,5.03,554.61,0,28,200
39,7,12.47,554.61,6,41,1400
40,7,5.18,554.61,0,27,2900
41,7,19.72,554.61,30,83,300
42,7,6.42,554.61,2,33,0
